id,opinion_0,opinion_1,opinion_2,opinion_3,opinion_4,opinion_5,opinion_6,opinion_7,opinion_8,opinion_9
0.0,0.48359696563362764,-0.581970598997908,0.2812466207714095,-0.7788375691874625,-0.827139021686957,0.0006303535116545245,-0.9567484454141684,0.9951874404660082,0.47646416710014217,-0.7466861709056842
1.0,0.6829290078121131,-0.5440463039730048,-0.924788896058609,0.40959889800655525,-0.9667900697653269,0.9545739425626141,-0.3391591502069853,0.22293551738177286,0.7678855634934514,0.22420258884529187
2.0,-0.07416342673893284,0.6427214736251841,0.8060946463362151,0.6280439674869018,0.8375407114079167,0.27685910739578734,0.20694982425307962,-0.5956773555090147,-0.7447389204745218,-0.5311340025848252
3.0,0.37126827925572115,-0.2194483698293499,-0.5996872635783448,-0.2533792717784962,0.05841612606429791,-0.9140710145672677,0.7469996686561806,0.14811332593698934,-0.09874148938910965,-0.7261559546021246
4.0,0.29098669344970474,-0.6614404747563376,0.13713911483507135,0.5983114098662092,-0.5753074999840133,0.8373935456249346,-0.6424110320719496,0.6240911782428797,-0.40457362044503165,-0.5366651194244172
5.0,0.7892454924102283,-0.5819818342044996,-0.2983168852411293,0.6086613903837006,-0.057257680991169124,-0.5647137140417418,-0.9573645690709973,-0.48471515210190375,-0.014286038194648798,0.3074933262787991
6.0,0.618207797148953,-0.7071745240037295,-0.7626313339020789,0.6722613964535584,0.40041302999115436,-0.10557599594189249,-0.033932835958395025,0.4485005062347125,-0.7848590688524759,-0.1626360408795675
7.0,-0.2959227148466925,0.4004277951436115,-0.5723479171263715,0.7362072016525576,-0.03742162568130181,0.7252701508162542,-0.44398421825794454,-0.9021814327188928,-0.9466899082926541,-0.3081901195765735
8.0,0.67856016837589,-0.23016443822175692,-0.2311060177786015,-0.6764095349178518,-0.4557279591317791,-0.34396913113563143,-0.9274430992567664,-0.45161384538410276,0.3371879005763496,-0.6967812245311038
9.0,-0.7304478773442107,0.22988546309880276,-0.3937434461229057,0.7804884658511952,-0.33565329374243236,-0.38286654272022624,0.9343386461949523,0.38318700635596414,-0.12378819295948706,-0.40080600018751733
